Close,Volume,SMA_20,SMA_50,RSI,MACD
37.64,129905200,36.943249855,37.254699902,55.86003702695883,0.33119852850543197
37.375,68854800,37.015999855000004,37.250949902,52.04923753931019,0.2923039343779834
37.1825,79383600,37.074874799999996,37.231899902,49.41218673849589,0.24314373744761753
37.5125,141474400,37.1567498,37.216849902,53.73917199513873,0.22818183116373092
39.285,279747200,37.319874850000005,37.232599902000004,69.05137916440829,0.35525518856339033
38.8925,108389200,37.480374850000004,37.241449902,63.99964962077483,0.41945505332306965
39.0975,82239600,37.63299995,37.256699902,65.42250306406495,0.48132725445019275
39.7025,87481200,37.80487495,37.281399902,69.2812253754957,0.5725795230888266
40.02,144823600,37.986749950000004,37.313749902,71.10371484415343,0.662875978311817
40.265,104526000,38.178249949999994,37.350699902,72.46143267170599,0.7456110816539052
38.83,163217200,38.27262495,37.363499902,55.89553060989617,0.687462104709347
39.37,105028400,38.37812495,37.384999902,59.63523397061359,0.6771463865367267
39.9625,88490800,38.50674995,37.406999901999995,63.31116806709809,0.7086124604865347
40.4,117862000,38.65074995,37.445349902000004,65.7886466973602,0.7600902966524856
40.2375,110686400,38.774874950000005,37.477849902,64.0583841678237,0.7787969740286371
39.465,111762400,38.86887495,37.490299902,56.45675362774486,0.7229540919270008
39.375,109712400,38.95924995,37.502849902,55.62851224123627,0.6637842658710014
39.3025,105474000,39.02325,37.543999902,54.92943313240985,0.604078171201806
39.945,86418400,39.11125,37.615799902,59.75611412726185,0.6016693714330472
39.995,77596400,39.192750000000004,37.682749902,60.11409235286666,0.5969141081221068
39.8175,79275600,39.301625,37.753299902,58.13702025288784,0.5722264903357868
39.965,101920400,39.431125,37.831149942,59.333917577268906,0.5581296218099112
40.3675,103864000,39.590375,37.927149942,62.4858735618193,0.5728328772747133
40.7275,118067600,39.751125,38.009999942,65.09199213964129,0.6065424605901555
40.8375,109078400,39.82875,38.101699942,65.8721511289489,0.6348158667707509
41.0,107140400,39.934125,38.192349942,67.04391220289662,0.6626959899404881
41.012501,66364400,40.02987505,38.284449962000004,67.13738995889102,0.677984531000078
40.52,117874000,40.07075005,38.363449962,59.92576313728308,0.6429485841835145
40.4775,86606800,40.09362505,38.443899962,59.33347224719953,0.604781405518878
40.315,87714000,40.09612505,38.53154996200001,57.013163703469864,0.5550232865591909
39.6575,114446000,40.13750005,38.59554996200001,48.71248938887248,0.45726381117414405
40.375,126323200,40.18775005,38.684649962,56.20568105965984,0.43269711323800664
40.215,286856000,40.200375050000005,38.76884994,54.30047645373388,0.39575514632807085
39.9125,179629600,40.176000050000006,38.84959994,50.794808224215714,0.33817092557153217
39.57,95042800,40.14262505,38.92054996,47.08802231605846,0.26187934605490426
39.97,196458400,40.16787505,39.00629996,51.53617761636896,0.231031192917321
39.6675,113077600,40.18250005,39.07875,48.23379455940925,0.1800985237306989
39.6825,83242400,40.20150005000001,39.1471,48.410328643196785,0.1393381872029309
39.017502,211805600,40.155125149999996,39.19980004,41.631991232559535,0.0527672775335688
38.3475,150046800,40.072750150000005,39.238050040000005,36.14127427687868,-0.06910772323340098
37.9725,186581600,39.98050015,39.25865004,33.47978690297063,-0.1937208124584302
37.6375,177549200,39.86412514999999,39.26620004,31.264782548212665,-0.3158681523075728
38.285,146640000,39.76000015,39.28410004,39.584691032475604,-0.35631557637960753
38.5575,102016800,39.65150015,39.30485004,42.72666874283831,-0.36220668553713153
38.32,88022000,39.525625149999996,39.316150040000004,40.73810850945632,-0.38164038432964276
38.53,105199200,39.402125149999996,39.33505004,43.25302071823594,-0.37576490179580446
38.4525,74795200,39.274125100000006,39.35275004,42.535611273719894,-0.3730617185935614
38.62,64921200,39.17912510000001,39.36470006,44.6715886061751,-0.3533306010579622
38.37,80655200,39.0737501,39.36840006,42.15311500836732,-0.3537882086747075
38.8475,85135200,39.0003751,39.37805006,48.16421231402533,-0.312023790611768
38.825,69630400,38.958750099999996,39.40175006,47.911568890009725,-0.27754142556972994
38.96,65051600,38.8880001,39.43345006,49.619163762234194,-0.23659323158442902
38.975,62468000,38.8260001,39.46930006,49.816020749401446,-0.20061851285994692
39.1375,67622400,38.787250099999994,39.50180006,52.0039715597409,-0.1571839781001927
39.0,64500400,38.7587501,39.496100059999996,50.01685714337256,-0.1323314625123473
39.2475,65576800,38.7226251,39.50320006,53.4638028378816,-0.09160847779239134
39.97,96486000,38.7377501,39.52065006,61.755245313504886,-0.001023706541225522
40.1175,75989200,38.7595001,39.52895006,63.19690385603406,0.08172531602355093
39.94,65496800,38.805625000000006,39.527350059999996,60.253409693108004,0.131466284517046
38.995,170336800,38.838,39.50195006,47.554253146473194,0.0935543221171784
39.0625,95896400,38.8925,39.506600060000004,48.390964456418395,0.0681696869364572
39.0425,87937200,38.96275,39.50005006000001,48.14586897712044,0.045909135875362495
39.275,71028800,39.01225,39.48630006,51.237814478274665,0.04649236070356011
39.1025,84828400,39.0395,39.460350059999996,48.90770370553065,0.03265879199967969
39.3525,68002000,39.091125,39.44265006,52.29377876821789,0.041391365898356014
40.7625,177816800,39.20275,39.46860006,65.98574703385748,0.1602400620765394
41.68,178803200,39.364124999999994,39.51470006,71.68129920794044,0.32471992304718356
42.26,144187200,39.546124999999996,39.57385006,74.5791233402546,0.49615320531138707
41.7225,134551200,39.713750000000005,39.609400060000006,67.668454010761,0.5819353699877752
42.0275,165573600,39.872749999999996,39.65005006,69.40111838656566,0.6668423608882179
43.125,237594400,40.08775,39.71620006,74.66291438610635,0.8133154465123482
43.5625,140105200,40.317875,39.78815006,76.40476524683531,0.9537052948331066
